17,10,0
Day,Task0,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24,Task25,Task26,Task27,Task28,Task29,Task30,Task31,Task32,Task33,Task34,Task35,Task36,Task37,Task38,Task39,Task40,Task41,Task42,Task43,Task44,Task45,Task46,Task47,Task48,Task49
1,W12,W7,W3,W9,W8,W2,W4,W6,W10,W1,W15,W7,W0,W11,W13,W14,W9,W5,W17,W21,W24,W18,W22,W4,W19,W16,W23,W3,W12,W8,W2,W0,W7,W1,W13,W6,W5,W10,W14,W15,W11,W9,W4,W21,W16,W20,W15,W23,W0,W18
2,W12,W17,W24,W3,W8,W19,W5,W6,W22,W7,W9,W2,W0,W11,W13,W14,W9,W16,W15,W21,W1,W18,W12,W4,W10,W23,W9,W3,W8,W2,W6,W24,W7,W1,W17,W5,W16,W0,W19,W22,W11,W4,W14,W21,W23,W20,W15,W9,W16,W18
3,W13,W10,W3,W12,W8,W2,W5,W6,W24,W7,W21,W1,W17,W22,W23,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W16,W10,W11,W8,W2,W6,W24,W14,W1,W18,W5,W12,W0,W9,W22,W17,W23,W3,W21,W16,W20,W15,W9,W0,W7
4,W13,W10,W24,W11,W8,W4,W5,W19,W6,W1,W18,W2,W12,W22,W23,W14,W9,W16,W17,W21,W3,W15,W5,W13,W10,W23,W4,W11,W0,W8,W6,W24,W7,W1,W18,W16,W2,W10,W19,W22,W9,W23,W14,W21,W3,W20,W15,W9,W0,W8
5,W12,W17,W5,W11,W18,W4,W9,W6,W24,W7,W23,W1,W0,W22,W13,W14,W9,W16,W15,W21,W2,W3,W12,W5,W10,W17,W4,W11,W8,W9,W6,W24,W7,W1,W18,W16,W2,W0,W19,W22,W17,W23,W14,W21,W3,W20,W15,W9,W16,W8
