301,200,0
Day,Task0,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24,Task25,Task26,Task27,Task28,Task29,Task30,Task31,Task32,Task33,Task34,Task35,Task36,Task37,Task38,Task39,Task40,Task41,Task42,Task43,Task44,Task45,Task46,Task47,Task48,Task49
30,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
31,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
32,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
33,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
34,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
35,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
36,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
37,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
38,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
39,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
40,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
41,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
42,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
43,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
44,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
45,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
46,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
47,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
48,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
49,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
50,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
51,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
52,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
53,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
54,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
55,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
56,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
57,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
58,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
59,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
60,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
61,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
62,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
63,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
64,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
65,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
66,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
67,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
68,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
69,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
70,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
71,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
72,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
73,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
74,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
75,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
76,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
77,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
78,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
79,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
80,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
81,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
82,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
83,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
84,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
85,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
86,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
87,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
88,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
89,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
