301,200,0
Day,Task0,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24,Task25,Task26,Task27,Task28,Task29,Task30,Task31,Task32,Task33,Task34,Task35,Task36,Task37,Task38,Task39,Task40,Task41,Task42,Task43,Task44,Task45,Task46,Task47,Task48,Task49
1,W13,W10,W5,W12,W11,W4,W9,W6,W24,W7,W18,W1,W0,W22,W23,W14,W9,W20,W17,W21,W2,W3,W15,W13,W19,W16,W10,W11,W8,W9,W6,W12,W7,W1,W18,W5,W2,W0,W24,W22,W17,W4,W14,W21,W23,W20,W15,W3,W16,W8
2,W13,W10,W5,W11,W12,W19,W9,W6,W7,W1,W18,W2,W0,W24,W23,W14,W9,W20,W17,W22,W3,W15,W5,W4,W10,W21,W23,W11,W16,W8,W6,W12,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
3,W12,W10,W24,W11,W8,W2,W5,W6,W7,W1,W9,W4,W17,W22,W13,W14,W9,W20,W0,W21,W3,W15,W12,W24,W19,W23,W10,W11,W16,W8,W2,W0,W7,W1,W18,W5,W12,W6,W14,W22,W17,W4,W9,W21,W3,W20,W15,W23,W16,W8
4,W13,W10,W24,W11,W18,W19,W5,W6,W7,W1,W9,W2,W0,W22,W20,W14,W9,W12,W17,W21,W3,W15,W5,W4,W10,W23,W9,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
5,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
6,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
7,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
8,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
9,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
10,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
11,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
12,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
13,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
14,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
15,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
16,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
17,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
18,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
19,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
20,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
21,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
22,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
23,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
24,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
25,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
26,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
27,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
28,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
29,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
